id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-0-49-42-3870,4,8548,7400,1016,-3584,-349,-4671
1,2020-9-6-0-49-42-3958,2,596,-16620,772,-3312,-613,16
2,2020-9-6-0-49-42-4008,1,9564,-10656,-10368,-3184,-707,-1379
3,2020-9-6-0-49-42-4090,3,-832,-16296,-2644,-4000,-661,-14
4,2020-9-6-0-49-43-4350,4,21292,-19496,13432,-3584,-8018,-1762
5,2020-9-6-0-49-43-4461,2,668,-16652,1000,-3296,397,803
6,2020-9-6-0-49-43-4511,1,8556,-11180,-10600,-3184,-1929,3960
7,2020-9-6-0-49-43-4593,3,-1508,-16244,-2352,-4032,-130,37
8,2020-9-6-0-49-43-4853,4,8480,-14132,4880,-3584,621,3791
9,2020-9-6-0-49-43-4971,2,-880,-11000,2700,-3296,3471,4255
10,2020-9-6-0-49-43-5014,1,7752,-9184,-8560,-3232,1056,-17279
11,2020-9-6-0-49-43-5096,3,-544,-19800,-2540,-4016,10000,406
12,2020-9-6-0-49-44-5354,4,4584,-18024,7296,-3584,-13361,5871
13,2020-9-6-0-49-44-5465,2,-3692,-16444,1508,-3328,-3200,2220
14,2020-9-6-0-49-44-5514,1,7652,-15952,-896,-3184,6099,9783
15,2020-9-6-0-49-44-5599,3,-4120,-20788,2360,-4016,-16082,16590
16,2020-9-6-0-49-44-5869,4,3840,-16836,4240,-3600,-4779,11486
17,2020-9-6-0-49-44-5973,2,-5552,-21932,-8424,-3328,-8485,16424
18,2020-9-6-0-49-44-6015,1,2688,-19932,-5012,-3200,-12348,7204
19,2020-9-6-0-49-44-6099,3,-2812,-16392,372,-4032,-509,-1179
20,2020-9-6-0-49-45-6356,4,5612,-14340,4116,-3648,6475,-6437
21,2020-9-6-0-49-45-6472,2,-16400,-12616,-15876,-3360,-1905,-32768
22,2020-9-6-0-49-45-6521,1,2816,-20168,-3524,-3200,21297,-15349
23,2020-9-6-0-49-45-6602,3,-6908,-20692,8580,-4016,4560,-9470
24,2020-9-6-0-49-45-6862,4,3704,-16832,13460,-3648,5968,-28186
25,2020-9-6-0-49-45-6970,2,-384,-17312,-280,-3344,-5295,-4961
26,2020-9-6-0-49-45-7021,1,5416,-16776,-3848,-3200,492,-12891
27,2020-9-6-0-49-45-7107,3,-712,-16724,-2348,-4016,-4584,-18691
28,2020-9-6-0-49-46-7360,4,3308,-12012,-2840,-3632,836,7830
29,2020-9-6-0-49-46-7473,2,-6412,-14220,-268,-3312,-2755,-20583
30,2020-9-6-0-49-46-7522,1,4680,-17420,-3812,-3232,-6399,-258
31,2020-9-6-0-49-46-7606,3,-2388,-16372,-496,-4016,396,-4047
32,2020-9-6-0-49-46-7864,4,4248,-18996,3856,-3648,-4582,-9171
33,2020-9-6-0-49-46-7975,2,-3672,-13728,2272,-3328,-8163,-11635
34,2020-9-6-0-49-46-8027,1,4888,-11636,-2412,-3184,7417,-11005
35,2020-9-6-0-49-46-8107,3,2220,-5512,-11668,-3984,-8382,-14243
36,2020-9-6-0-49-47-8366,4,-1228,-15832,2892,-3680,7924,1177
37,2020-9-6-0-49-47-8480,2,-3352,-19000,-3172,-3328,-11643,5289
38,2020-9-6-0-49-47-8526,1,8304,-20336,-5688,-3216,-3342,2335
39,2020-9-6-0-49-47-8610,3,-2168,-15616,-1580,-3984,2389,-3375
40,2020-9-6-0-49-47-8870,4,5780,-16080,2680,-3664,-5429,7875
41,2020-9-6-0-49-47-8979,2,-7736,-23924,-25736,-3328,17382,-9117
42,2020-9-6-0-49-47-9036,1,-1000,-15908,-4968,-3216,-3267,69
43,2020-9-6-0-49-47-9112,3,-2376,-25444,636,-4000,17143,72
44,2020-9-6-0-49-48-9370,4,-776,-21524,1424,-3664,13481,4979
45,2020-9-6-0-49-48-9481,2,-2152,-16560,-500,-3360,-1382,4208
46,2020-9-6-0-49-48-9529,1,6560,-13628,-2032,-3216,-1105,8429
47,2020-9-6-0-49-48-9613,3,-17928,-11180,4976,-3968,-2023,24798
48,2020-9-6-0-49-48-9871,4,4908,-13916,4984,-3664,-25072,14327
49,2020-9-6-0-49-48-9982,2,-1580,-16624,-3540,-3344,-7794,17028
50,2020-9-6-0-49-48-10033,1,-2244,-17868,-7040,-3232,-9277,6362
51,2020-9-6-0-49-48-10115,3,-448,-16252,-2008,-4000,-2708,1403
52,2020-9-6-0-49-49-10375,4,5152,-15716,1884,-3664,1917,10875
53,2020-9-6-0-49-49-10487,2,3988,-7940,-6296,-3360,-901,-5465
54,2020-9-6-0-49-49-10533,1,5324,-12368,-1616,-3232,-6195,13662
55,2020-9-6-0-49-49-10617,3,-4204,-24136,4112,-4000,26373,30807
56,2020-9-6-0-49-49-10874,4,1932,-12832,1496,-3664,-92,7747
57,2020-9-6-0-49-49-10990,2,-6672,-16364,-1256,-3328,-2865,8417
58,2020-9-6-0-49-49-11034,1,5972,-17876,-4192,-3232,4323,6932
59,2020-9-6-0-49-49-11118,3,-9348,-28192,30984,-3968,-24227,21057
60,2020-9-6-0-49-50-11389,4,4960,-14764,2396,-3648,-1486,8849
61,2020-9-6-0-49-50-11498,2,2576,-14164,4624,-3376,27124,-15728
62,2020-9-6-0-49-50-11537,1,484,-19936,-2744,-3248,-14814,3932
63,2020-9-6-0-49-50-11621,3,-2336,-17312,768,-4016,4890,-1654
64,2020-9-6-0-49-50-11885,4,4592,-18744,8828,-3664,3975,-9687
65,2020-9-6-0-49-50-11990,2,-1372,-15488,1160,-3344,-2518,-314
66,2020-9-6-0-49-50-12062,1,4844,-19324,-4020,-3232,13475,-9190
67,2020-9-6-0-49-50-12125,3,-1792,-16348,-896,-4000,-28551,8859
68,2020-9-6-0-49-51-12382,4,3956,-15684,3820,-3696,11,-7540
69,2020-9-6-0-49-51-12494,2,-6180,-9608,10664,-3344,-11494,15505
70,2020-9-6-0-49-51-12542,1,3724,-23152,-4032,-3216,-17809,3312
71,2020-9-6-0-49-51-12624,3,-1756,-15780,-2520,-4000,929,-3801
72,2020-9-6-0-49-51-12882,4,2904,-15184,2756,-3696,352,-16553
73,2020-9-6-0-49-51-12996,2,-4184,-17300,3716,-3344,2194,-7861
74,2020-9-6-0-49-51-13043,1,1736,-15828,-6680,-3200,25055,-19009
75,2020-9-6-0-49-51-13127,3,-2696,-16196,-6408,-4000,-7460,-32768
76,2020-9-6-0-49-52-13384,4,1356,-16352,6124,-3728,8764,-12140
77,2020-9-6-0-49-52-13497,2,2660,-19280,-116,-3344,-9071,-994
78,2020-9-6-0-49-52-13546,1,10600,-19524,-5240,-3232,-5791,-3713
79,2020-9-6-0-49-52-13629,3,-4152,-16028,-1908,-3968,1538,4364
80,2020-9-6-0-49-52-13889,4,4044,-17040,1896,-3728,-3821,6059
81,2020-9-6-0-49-52-13999,2,-272,-23432,-9996,-3344,28535,-17228
82,2020-9-6-0-49-52-14047,1,2508,-14052,-4704,-3248,-3000,-3980
83,2020-9-6-0-49-52-14130,3,-3480,-19420,92,-3984,12430,-743
84,2020-9-6-0-49-53-14389,4,436,-20520,7504,-3712,10715,-8446
85,2020-9-6-0-49-53-14502,2,-2096,-16460,-480,-3360,-5523,1143
86,2020-9-6-0-49-53-14549,1,6968,-14524,-72,-3264,1320,3031
87,2020-9-6-0-49-53-14634,3,-6160,-31392,9548,-4000,-30703,28082
88,2020-9-6-0-49-53-14891,4,1808,-17612,3084,-3728,-17291,10999
89,2020-9-6-0-49-53-15003,2,-4732,-13272,-7708,-3296,-3355,14278
90,2020-9-6-0-49-53-15053,1,5264,-16280,-4124,-3248,-512,3960
91,2020-9-6-0-49-53-15134,3,-1856,-15856,-3256,-3968,2273,-3328
92,2020-9-6-0-49-54-15392,4,3728,-16728,5656,-3712,-2981,-360
93,2020-9-6-0-49-54-15503,2,-3284,-15096,3740,-3312,-1078,10274
94,2020-9-6-0-49-54-15552,1,8056,-18744,1764,-3248,8093,-7481
95,2020-9-6-0-49-54-15666,3,3028,-19484,-5468,-3984,6358,-22723
96,2020-9-6-0-49-54-15895,4,-2052,-16308,2440,-3760,11518,-2966
97,2020-9-6-0-49-54-16006,2,-2536,-16608,-1228,-3360,-4118,3008
98,2020-9-6-0-49-54-16058,1,6836,-14184,-2840,-3296,-5036,11442
99,2020-9-6-0-49-54-16139,3,-11864,-11764,11628,-4000,2801,12420
100,2020-9-6-0-49-55-16395,4,1492,-17300,9232,-3744,-22869,31129
101,2020-9-6-0-49-55-16508,2,-7968,-17124,-3252,-3328,-5142,32767
102,2020-9-6-0-49-55-16558,1,-1416,-16280,-8660,-3232,-349,19341
103,2020-9-6-0-49-55-16640,3,660,-16028,-4160,-3952,152,4997
104,2020-9-6-0-49-55-16899,4,4384,-18276,3436,-3760,-1953,-142
105,2020-9-6-0-49-55-17010,2,-3592,-11684,-3484,-3360,4316,-929
106,2020-9-6-0-49-55-17059,1,3472,-11280,-7364,-3280,-14933,12294
107,2020-9-6-0-49-55-17143,3,2584,-19048,4204,-3968,14786,19598
108,2020-9-6-0-49-56-17400,4,2816,-9232,10936,-3792,16899,-16613
109,2020-9-6-0-49-56-17512,2,-2708,-16672,-688,-3328,-3917,2983
110,2020-9-6-0-49-56-17560,1,8132,3948,-920,-3264,-13626,-3607
111,2020-9-6-0-49-56-17645,3,-1848,-26376,1128,-4000,-29843,-2380
112,2020-9-6-0-49-56-17903,4,-2104,11332,-1976,-3792,-14201,12252
113,2020-9-6-0-49-56-18015,2,-14276,-21172,-4376,-3360,-14965,16591
114,2020-9-6-0-49-56-18062,1,15008,7856,1932,-3296,1776,6815
115,2020-9-6-0-49-56-18146,3,-3520,-16532,2348,-4000,2940,6879
116,2020-9-6-0-49-57-18403,4,-3904,22432,1728,-3744,6508,850
117,2020-9-6-0-49-57-18517,2,-14992,-12240,-9796,-3328,-10655,-6306
118,2020-9-6-0-49-57-18566,1,23264,2328,268,-3264,24689,13280
119,2020-9-6-0-49-57-18648,3,-3452,-17292,2064,-3952,11060,-9622
120,2020-9-6-0-49-57-18909,4,4580,12972,-8416,-3760,2138,-5165
121,2020-9-6-0-49-57-19018,2,-2216,-16232,-400,-3360,-247,1704
122,2020-9-6-0-49-57-19068,1,14660,4780,-2348,-3280,13429,-5207
123,2020-9-6-0-49-57-19151,3,1484,-25424,1944,-3952,-30307,-778
124,2020-9-6-0-49-58-19409,4,20316,-2152,-10088,-3776,-119,528
125,2020-9-6-0-49-58-19521,2,-6604,-19764,-4036,-3344,-13591,11502
126,2020-9-6-0-49-58-19568,1,8220,9980,-6452,-3280,-27529,-15344
127,2020-9-6-0-49-58-19651,3,-4244,-16520,1908,-3952,-2771,-648
128,2020-9-6-0-49-58-19912,4,21496,-9228,8564,-3776,-5534,3997
129,2020-9-6-0-49-58-20024,2,-8836,-8892,-1808,-3344,-5560,-13671
130,2020-9-6-0-49-58-20071,1,4556,3576,-19036,-3312,7547,2125
131,2020-9-6-0-49-58-20155,3,-2128,-15532,-3596,-3952,-1847,-2929
132,2020-9-6-0-49-59-20412,4,-2640,8764,-732,-3776,1047,203
133,2020-9-6-0-49-59-20524,2,-2880,-16976,-1896,-3344,-40,-491
134,2020-9-6-0-49-59-20572,1,9584,-808,-3588,-3280,-9510,1071
135,2020-9-6-0-49-59-20658,3,-5916,-15132,-3344,-3984,887,-650
136,2020-9-6-0-49-59-20914,4,-9316,15416,-6160,-3808,-6204,-6172
137,2020-9-6-0-49-59-21026,2,12,-19844,-1812,-3328,-7151,2321
138,2020-9-6-0-49-59-21075,1,10156,9440,-9752,-3312,-7993,-5835
139,2020-9-6-0-49-59-21161,3,-3032,-17896,3156,-3968,-2920,7004
140,2020-9-6-0-50-0-21417,4,9312,-17052,15056,-3808,16435,-16501
141,2020-9-6-0-50-0-21529,2,-4656,-18440,-1084,-3328,5728,-24663
142,2020-9-6-0-50-0-21577,1,11576,-12380,-18104,-3296,18017,-32768
143,2020-9-6-0-50-0-21660,3,-3296,-16172,-1712,-3968,-446,-7199
144,2020-9-6-0-50-0-21917,4,13192,-13816,5856,-3776,-1117,-5359
145,2020-9-6-0-50-0-22032,2,-5648,-14996,-11376,-3344,-4592,-24086
146,2020-9-6-0-50-0-22079,1,4944,-7776,-14648,-3296,4190,-4089
147,2020-9-6-0-50-0-22161,3,-2456,-16336,944,-3968,14391,-1048
148,2020-9-6-0-50-1-22420,4,9680,-13020,17872,-3776,-533,10148
149,2020-9-6-0-50-1-22532,2,-1728,-14244,148,-3344,-512,4190
150,2020-9-6-0-50-1-22580,1,12024,-10976,-9200,-3280,-3872,-3469
151,2020-9-6-0-50-1-22663,3,-7440,-28096,20840,-3936,-24721,1742
152,2020-9-6-0-50-1-22920,4,8380,-11076,21456,-3760,-6931,-10347
153,2020-9-6-0-50-1-23035,2,-9172,-24256,292,-3328,-11201,16807
154,2020-9-6-0-50-1-23082,1,1536,-496,-9292,-3296,-3191,-7529
155,2020-9-6-0-50-1-23168,3,-2948,-15756,-2696,-3968,-2576,-1601
156,2020-9-6-0-50-2-23424,4,9940,-5172,11164,-3808,2187,-2347
157,2020-9-6-0-50-2-23535,2,-19800,-11144,-17276,-3360,-4902,-24402
158,2020-9-6-0-50-2-23585,1,5824,-10656,-15848,-3296,4281,-1298
159,2020-9-6-0-50-2-23668,3,-1996,-19936,1776,-3920,5718,-2442
160,2020-9-6-0-50-2-23927,4,7664,-10712,17272,-3808,4518,-23329
161,2020-9-6-0-50-2-24038,2,-984,-15912,1892,-3312,-1860,-3140
162,2020-9-6-0-50-2-24096,1,6180,-9016,-12548,-3296,10234,-11703
163,2020-9-6-0-50-2-24170,3,1428,-16700,-7880,-3920,-533,-32768
164,2020-9-6-0-50-3-24428,4,7276,-8052,9856,-3760,8064,-8765
165,2020-9-6-0-50-3-24539,2,-28,-24144,1224,-3328,-11384,-10869
166,2020-9-6-0-50-3-24587,1,9580,-8688,-15844,-3296,2269,-1506
167,2020-9-6-0-50-3-24673,3,-3188,-17408,-644,-3952,-2458,135
168,2020-9-6-0-50-3-24930,4,9756,-11748,6252,-3792,6773,-7867
169,2020-9-6-0-50-3-25043,2,-7152,-14444,-4376,-3328,18019,-19853
170,2020-9-6-0-50-3-25089,1,11600,-3296,-18112,-3248,5928,-5046
171,2020-9-6-0-50-3-25173,3,-3876,-15912,-1156,-3968,1805,-7780
172,2020-9-6-0-50-4-25430,4,14796,-12864,12680,-3840,15130,2807
173,2020-9-6-0-50-4-25546,2,-2128,-15436,2096,-3360,-1077,-625
174,2020-9-6-0-50-4-25593,1,3636,-14876,-11176,-3280,10300,-9444
175,2020-9-6-0-50-4-25677,3,4072,-16232,-2036,-3952,-28535,-614
176,2020-9-6-0-50-4-25932,4,12136,-15948,4716,-3808,13959,-4438
177,2020-9-6-0-50-4-26046,2,-2516,-17452,-4052,-3344,-9480,-195
178,2020-9-6-0-50-4-26095,1,672,3472,764,-3328,-7,-23283
179,2020-9-6-0-50-4-26177,3,-3540,-15472,2404,-3968,10059,-1684
180,2020-9-6-0-50-5-26435,4,7448,-12760,9120,-3824,-7645,11876
181,2020-9-6-0-50-5-26547,2,-104,-21636,-10420,-3328,26641,1055
182,2020-9-6-0-50-5-26595,1,2312,-3180,-10448,-3296,-17964,-6307
183,2020-9-6-0-50-5-26687,3,-3204,-15260,1972,-3984,828,-1540
184,2020-9-6-0-50-5-26938,4,8276,-6384,13840,-3792,-1672,4433
185,2020-9-6-0-50-5-27072,2,408,-15444,2000,-3328,4994,-1254
186,2020-9-6-0-50-5-27103,1,11224,-16144,8372,-3328,-4742,10057
187,2020-9-6-0-50-5-27182,3,-836,-13708,4152,-3936,-3070,-9287
188,2020-9-6-0-50-6-27441,4,-2596,9880,6024,-3792,4365,-5041
189,2020-9-6-0-50-6-27555,2,-1996,-16380,-540,-3328,-7907,-1397
190,2020-9-6-0-50-6-27600,1,5428,-12644,-12104,-3328,-22734,-8066
191,2020-9-6-0-50-6-27683,3,2712,-15788,-16940,-3984,-364,2004
192,2020-9-6-0-50-6-27941,4,-2744,8292,3944,-3792,-13572,-7559
193,2020-9-6-0-50-6-28058,2,-2332,-18140,-5604,-3328,9959,7206
194,2020-9-6-0-50-6-28101,1,12240,-6824,-12076,-3328,-22222,1972
195,2020-9-6-0-50-6-28184,3,-3180,-16132,768,-3968,-12524,4344
196,2020-9-6-0-50-7-28445,4,7632,-16436,12148,-3808,-3384,1928
197,2020-9-6-0-50-7-28556,2,64,-13520,7224,-3328,12209,6599
198,2020-9-6-0-50-7-28603,1,496,-2316,-7500,-3280,19250,-19598
199,2020-9-6-0-50-7-28688,3,-4692,-13700,-4752,-3936,6478,1572
200,2020-9-6-0-50-7-28946,4,12856,-12180,15928,-3808,-3320,2349
201,2020-9-6-0-50-7-29058,2,-5476,-16896,-5272,-3312,11754,1941
202,2020-9-6-0-50-7-29105,1,12900,212,-12016,-3296,-5210,-30620
203,2020-9-6-0-50-7-29189,3,1260,-11480,3708,-3984,7982,5628
204,2020-9-6-0-50-8-29446,4,13304,-6572,7144,-3824,5049,23682
205,2020-9-6-0-50-8-29558,2,-976,-16756,952,-3280,-2621,-3082
206,2020-9-6-0-50-8-29607,1,28664,-10768,-25436,-3312,-21942,-18677
207,2020-9-6-0-50-8-29691,3,-1924,-14660,2404,-3936,-1302,3278
208,2020-9-6-0-50-8-29949,4,11064,-1496,24400,-3824,9041,-19546
209,2020-9-6-0-50-8-30064,2,3084,-19476,-5088,-3360,-2927,-356
210,2020-9-6-0-50-8-30109,1,-31664,1436,-18128,-3296,-6073,2599
211,2020-9-6-0-50-8-30194,3,-4616,-16048,3780,-3920,-3330,-404
212,2020-9-6-0-50-9-30451,4,19632,-4344,6980,-3872,6556,-32768
213,2020-9-6-0-50-9-30564,2,2076,-15704,9808,-3328,-2826,4615
214,2020-9-6-0-50-9-30611,1,10304,336,-5596,-3328,-3128,2916
215,2020-9-6-0-50-9-30696,3,688,-15904,-1784,-3968,7199,-2340
216,2020-9-6-0-50-9-30953,4,5560,16620,14608,-3824,14298,22031
217,2020-9-6-0-50-9-31065,2,-6144,-15148,-6472,-3328,5022,681
218,2020-9-6-0-50-9-31113,1,30696,-4744,-4308,-3296,-32768,3857
219,2020-9-6-0-50-9-31198,3,1356,-16796,1856,-3952,-21146,3645
220,2020-9-6-0-50-10-31458,4,10180,-5228,1260,-3856,-7211,-13148
221,2020-9-6-0-50-10-31566,2,-2904,-16088,-2544,-3328,-4404,93
222,2020-9-6-0-50-10-31616,1,32200,-15800,-27512,-3328,16864,-21787
223,2020-9-6-0-50-10-31711,3,-2240,-16500,-168,-3936,6118,-4618
224,2020-9-6-0-50-10-31957,4,20084,-32768,10624,-3872,-2572,2954
225,2020-9-6-0-50-10-32070,2,5736,-10952,-2888,-3312,15534,7998
226,2020-9-6-0-50-10-32118,1,980,3680,-3468,-3360,13597,29661
227,2020-9-6-0-50-10-32200,3,-1092,-16204,-1536,-3904,-6005,-1083
228,2020-9-6-0-50-11-32459,4,28652,-12028,19344,-3824,3396,-16993
229,2020-9-6-0-50-11-32573,2,1512,-16704,-2100,-3328,-5814,2163
230,2020-9-6-0-50-11-32620,1,-584,13968,12176,-3296,9078,4847
231,2020-9-6-0-50-11-32703,3,-1076,-16612,304,-3952,1137,-4183
232,2020-9-6-0-50-11-32960,4,26120,-7624,25076,-3840,6207,-14802
233,2020-9-6-0-50-11-33072,2,-3192,-16728,-2604,-3296,-7841,-2165
234,2020-9-6-0-50-11-33121,1,3064,12540,18876,-3344,2557,-1776
235,2020-9-6-0-50-11-33206,3,2372,-17088,6544,-3952,6945,-7372
236,2020-9-6-0-50-12-33462,4,21172,116,15700,-3824,842,2215
237,2020-9-6-0-50-12-33574,2,-3104,-16188,-968,-3312,2975,-30
238,2020-9-6-0-50-12-33626,1,7280,5528,9304,-3280,-18857,-161
239,2020-9-6-0-50-12-33705,3,168,-11008,9132,-3936,-94,10322
240,2020-9-6-0-50-12-33966,4,16240,-3336,16556,-3856,-8314,-11625
241,2020-9-6-0-50-12-34078,2,464,-16660,424,-3312,6470,1592
242,2020-9-6-0-50-12-34127,1,11976,6008,-9972,-3360,-22525,-15325
243,2020-9-6-0-50-12-34209,3,1088,-16900,580,-3936,297,6510
244,2020-9-6-0-50-13-34466,4,15644,-4768,12356,-3840,-7760,-3930
245,2020-9-6-0-50-13-34579,2,-4324,-16580,-3652,-3328,-5068,10505
246,2020-9-6-0-50-13-34629,1,20424,6204,-14736,-3328,-22362,-5447
247,2020-9-6-0-50-13-34712,3,-2640,-15704,1044,-3904,-9285,-4212
248,2020-9-6-0-50-13-34968,4,8388,-4732,7716,-3824,-2812,8625
249,2020-9-6-0-50-13-35082,2,-17256,-10568,-7864,-3312,-5078,-21859
250,2020-9-6-0-50-13-35130,1,16416,8912,-9184,-3312,-8128,-5556
251,2020-9-6-0-50-13-35212,3,-4340,-18092,5108,-3920,-3892,-1567
252,2020-9-6-0-50-14-35470,4,10448,-2284,14956,-3824,4692,-11653
253,2020-9-6-0-50-14-35592,2,-2192,-15820,-220,-3328,-2599,771
254,2020-9-6-0-50-14-35639,1,16276,7440,-11496,-3312,-2893,-3700
255,2020-9-6-0-50-14-35715,3,160,-14860,-540,-3936,6090,-5950
256,2020-9-6-0-50-14-35971,4,12400,-6520,10816,-3824,-956,3139
257,2020-9-6-0-50-14-36084,2,-3532,-14296,676,-3328,5606,-1501
258,2020-9-6-0-50-14-36132,1,-18080,-1696,-4176,-3344,13510,32767
259,2020-9-6-0-50-14-36216,3,-3184,-14924,-604,-3936,727,4432
260,2020-9-6-0-50-15-36475,4,6384,-6068,13980,-3840,4472,6730
261,2020-9-6-0-50-15-36588,2,-2532,-17208,-2408,-3296,6625,1537
262,2020-9-6-0-50-15-36634,1,4516,-7612,-4416,-3312,-2436,6903
263,2020-9-6-0-50-15-36717,3,2196,-17428,2296,-3936,-9745,-821
264,2020-9-6-0-50-15-36976,4,9364,-18992,144,-3840,8449,19254
265,2020-9-6-0-50-15-37089,2,3904,-15900,-2560,-3344,-3425,12609
266,2020-9-6-0-50-15-37137,1,-1428,1304,-5896,-3344,-9833,-17275
267,2020-9-6-0-50-15-37220,3,-5392,-16044,4204,-3904,-979,-1235
268,2020-9-6-0-50-16-37478,4,18972,-20964,1436,-3888,-8914,-3233
269,2020-9-6-0-50-16-37589,2,-436,-16168,4100,-3312,-1662,908
270,2020-9-6-0-50-16-37638,1,-8816,-1764,-14768,-3344,20641,16941
271,2020-9-6-0-50-16-37721,3,-156,-16924,-2404,-3920,11055,1381
272,2020-9-6-0-50-16-37979,4,16200,15792,19108,-3824,-10789,1828
273,2020-9-6-0-50-16-38093,2,-304,-15696,-432,-3328,745,2862
