id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-1-22-58-4168,1,6568,-13808,-10224,-3408,-686,-452
1,2020-9-6-1-22-58-4172,2,2776,-15804,-792,-3456,976,-8251
2,2020-9-6-1-22-58-4243,4,304,-16524,-5800,-3712,-1456,2218
3,2020-9-6-1-22-58-4331,3,-3256,-15872,1172,-4064,324,-453
4,2020-9-6-1-22-58-4644,1,-3144,-17960,-12304,-3408,14325,-19773
5,2020-9-6-1-22-58-4651,2,-824,-13096,-2248,-3472,-7563,-18940
6,2020-9-6-1-22-58-4746,4,-4272,-12836,-4120,-3696,-4624,-12591
7,2020-9-6-1-22-58-4834,3,-1424,-17988,2132,-4080,3085,-1450
8,2020-9-6-1-22-59-5146,1,-1504,-15456,3544,-3392,3503,-2118
9,2020-9-6-1-22-59-5151,2,-904,-16608,712,-3456,295,-824
10,2020-9-6-1-22-59-5247,4,-2828,-14204,-8220,-3696,-2841,-5447
11,2020-9-6-1-22-59-5336,3,-264,-16892,-1428,-4096,-1061,1168
12,2020-9-6-1-22-59-5648,1,-6620,-15648,1960,-3392,-8282,1710
13,2020-9-6-1-22-59-5655,2,396,-16596,-68,-3472,-2521,-1388
14,2020-9-6-1-22-59-5748,4,-2728,-17028,-6728,-3696,11545,8974
15,2020-9-6-1-22-59-5838,3,-808,-16260,1460,-4096,3280,601
16,2020-9-6-1-23-0-6156,1,1564,-14472,-7784,-3392,-11645,18875
17,2020-9-6-1-23-0-6159,2,-2200,-15500,-3056,-3472,-1063,-369
18,2020-9-6-1-23-0-6252,4,4592,-14404,3068,-3712,9044,-32768
19,2020-9-6-1-23-0-6342,3,96,-19392,-8384,-4096,-4732,1617
20,2020-9-6-1-23-0-6652,1,13544,-5236,-10824,-3376,-6342,-2358
21,2020-9-6-1-23-0-6657,2,-420,-16268,-5572,-3456,4585,5331
22,2020-9-6-1-23-0-6753,4,11592,-7048,4636,-3728,165,-4014
23,2020-9-6-1-23-0-6842,3,-6100,-17104,448,-4080,2402,6899
24,2020-9-6-1-23-1-7153,1,11092,-11280,-8144,-3376,-2146,-1906
25,2020-9-6-1-23-1-7159,2,-844,-17532,-2128,-3456,-3841,-1104
26,2020-9-6-1-23-1-7258,4,14344,-4828,6520,-3744,-3989,-3951
27,2020-9-6-1-23-1-7344,3,920,-17424,-380,-4112,-7005,-4520
28,2020-9-6-1-23-1-7656,1,10660,-1272,-13884,-3424,-132,-1812
29,2020-9-6-1-23-1-7661,2,-3844,-11916,-10008,-3456,-2108,-13678
30,2020-9-6-1-23-1-7757,4,12192,-9456,2196,-3712,-2380,-698
31,2020-9-6-1-23-1-7845,3,-2524,-16404,356,-4064,2933,78
32,2020-9-6-1-23-2-8157,1,11992,-5812,-10420,-3408,-292,5527
33,2020-9-6-1-23-2-8169,2,-1300,-15192,-3484,-3456,-3592,1007
34,2020-9-6-1-23-2-8258,4,14288,-4980,8040,-3712,-102,-1731
35,2020-9-6-1-23-2-8349,3,-2360,-18232,2160,-4064,-14365,3374
36,2020-9-6-1-23-2-8659,1,12560,-10744,-16528,-3392,-5206,-1895
37,2020-9-6-1-23-2-8665,2,5884,-18092,5836,-3488,17327,3780
38,2020-9-6-1-23-2-8761,4,13860,-5980,8360,-3728,-44,10054
39,2020-9-6-1-23-2-8849,3,-5580,-15368,1500,-4080,1315,-3263
40,2020-9-6-1-23-3-9163,1,12072,-6816,-8820,-3392,2879,-2072
41,2020-9-6-1-23-3-9186,2,-1652,-15836,-4084,-3440,-6386,-798
42,2020-9-6-1-23-3-9264,4,13980,-6500,8100,-3712,647,-3037
43,2020-9-6-1-23-3-9362,3,-2764,-17572,6052,-4080,-6392,-6603
44,2020-9-6-1-23-3-9662,1,10488,-2280,-12288,-3408,1525,1134
45,2020-9-6-1-23-3-9668,2,4460,-14208,10640,-3440,11189,-2372
46,2020-9-6-1-23-3-9764,4,12548,-5716,-628,-3776,15208,19466
47,2020-9-6-1-23-3-9854,3,-2576,-16120,1028,-4064,3802,-288
48,2020-9-6-1-23-4-10165,1,14352,-1140,-16128,-3360,-9107,5724
49,2020-9-6-1-23-4-10170,2,-2164,-16968,-5720,-3472,-4045,219
50,2020-9-6-1-23-4-10266,4,-372,3876,2712,-3728,-7969,8882
51,2020-9-6-1-23-4-10356,3,-3108,-10664,2360,-4048,3009,16897
52,2020-9-6-1-23-4-10667,1,27852,-6256,-3968,-3392,-432,-5259
53,2020-9-6-1-23-4-10672,2,-5060,-14300,-7120,-3456,-412,3339
54,2020-9-6-1-23-4-10774,4,-5176,1640,-13152,-3728,4434,7165
55,2020-9-6-1-23-4-10860,3,-10040,-12140,7104,-4048,192,3259
56,2020-9-6-1-23-5-11169,1,15544,3080,-6568,-3392,888,-2010
57,2020-9-6-1-23-5-11173,2,-3336,-13904,-9528,-3456,-2687,-5067
58,2020-9-6-1-23-5-11270,4,-1168,296,-2856,-3728,-21221,-7820
59,2020-9-6-1-23-5-11358,3,-8140,-11916,6372,-4032,1351,376
60,2020-9-6-1-23-5-11670,1,14872,5284,-11040,-3392,-2858,6632
61,2020-9-6-1-23-5-11676,2,-7076,-12684,-6452,-3456,1837,2088
62,2020-9-6-1-23-5-11779,4,8996,-9168,32767,-3760,-1107,-8304
63,2020-9-6-1-23-5-11863,3,-7304,-11496,6776,-4080,-454,-579
64,2020-9-6-1-23-6-12171,1,16196,3588,-6636,-3392,-689,3
65,2020-9-6-1-23-6-12179,2,-13732,-15200,-25984,-3440,-4243,-16498
66,2020-9-6-1-23-6-12275,4,672,3656,5532,-3744,19995,14358
67,2020-9-6-1-23-6-12363,3,-6988,-12144,6676,-4080,-619,-603
68,2020-9-6-1-23-6-12675,1,15332,4132,-7580,-3440,-1004,-616
69,2020-9-6-1-23-6-12682,2,-5952,-13116,-7632,-3472,-542,196
70,2020-9-6-1-23-6-12776,4,752,-2328,-9644,-3744,-11772,-6301
71,2020-9-6-1-23-6-12867,3,-7212,-12036,6640,-4048,-161,129
72,2020-9-6-1-23-7-13178,1,15584,4616,-7500,-3376,-587,679
73,2020-9-6-1-23-7-13183,2,-6160,-13404,-7600,-3456,-348,-81
74,2020-9-6-1-23-7-13277,4,-3184,-5360,29988,-3792,-18462,-4117
