id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-0-53-9-4054,3,-6352,-10008,9896,-4000,-287,-117
1,2020-9-6-0-53-9-4292,4,15700,1312,5176,-3744,-388,-163
2,2020-9-6-0-53-10-4402,2,-7568,-10712,-9968,-3312,-298,75
3,2020-9-6-0-53-10-4454,1,14676,2232,-10448,-3216,-694,-49
4,2020-9-6-0-53-10-4534,3,-6392,-9996,9668,-3968,-319,-73
5,2020-9-6-0-53-10-4794,4,15928,1324,5056,-3712,-272,196
6,2020-9-6-0-53-10-4911,2,-7516,-10672,-9832,-3312,-342,157
7,2020-9-6-0-53-10-4957,1,14568,2276,-10560,-3200,-806,-466
8,2020-9-6-0-53-10-5041,3,-6456,-10056,9804,-3968,-243,-111
9,2020-9-6-0-53-10-5295,4,16076,1532,4904,-3744,-158,327
10,2020-9-6-0-53-11-5408,2,-7524,-9984,-9860,-3296,-406,94
11,2020-9-6-0-53-11-5454,1,14724,2296,-10376,-3184,-574,457
12,2020-9-6-0-53-11-5540,3,-6332,-10020,9808,-3968,-365,-163
13,2020-9-6-0-53-11-5799,4,15996,1508,4728,-3728,-481,-216
14,2020-9-6-0-53-11-5908,2,-7428,-10068,-9960,-3328,-351,-130
15,2020-9-6-0-53-11-5962,1,14412,2152,-10892,-3184,-672,141
16,2020-9-6-0-53-11-6041,3,-6432,-10052,9876,-3936,-380,-126
17,2020-9-6-0-53-11-6301,4,15948,1520,4712,-3696,-159,-9
18,2020-9-6-0-53-12-6410,2,-7472,-10660,-9948,-3328,-459,-57
19,2020-9-6-0-53-12-6459,1,15012,2264,-12172,-3216,-1694,2542
20,2020-9-6-0-53-12-6542,3,-6500,-10124,9860,-3968,-275,-167
21,2020-9-6-0-53-12-6802,4,16036,1172,5248,-3712,664,-1014
22,2020-9-6-0-53-12-6912,2,-7696,-11652,-9756,-3296,-485,-276
23,2020-9-6-0-53-12-6963,1,15836,204,-8004,-3200,409,-2569
24,2020-9-6-0-53-12-7045,3,-6396,-10036,9716,-3952,-210,-66
25,2020-9-6-0-53-12-7304,4,15996,1176,4444,-3712,-1591,764
26,2020-9-6-0-53-13-7415,2,-7520,-10828,-10000,-3312,-357,-12
27,2020-9-6-0-53-13-7463,1,15980,2708,-7172,-3168,62,-2033
28,2020-9-6-0-53-13-7546,3,-6440,-9956,9844,-3984,7,-24
29,2020-9-6-0-53-13-7812,4,16096,1300,4584,-3712,-56,1144
30,2020-9-6-0-53-13-7916,2,-7628,-11104,-9684,-3312,-209,576
31,2020-9-6-0-53-13-7964,1,15308,2656,-9152,-3168,-559,19
32,2020-9-6-0-53-13-8049,3,-6408,-10020,9832,-3968,-183,-218
33,2020-9-6-0-53-13-8309,4,16016,1172,4672,-3728,-796,-1030
34,2020-9-6-0-53-14-8419,2,-7600,-11396,-9840,-3312,-425,482
35,2020-9-6-0-53-14-8466,1,15392,2660,-8952,-3200,-512,315
36,2020-9-6-0-53-14-8561,3,-6384,-9920,9708,-4000,-254,-169
37,2020-9-6-0-53-14-8808,4,15932,1540,4812,-3728,-428,-15
38,2020-9-6-0-53-14-8929,2,-8004,-9936,-9536,-3312,-280,891
39,2020-9-6-0-53-14-8970,1,15380,2572,-8936,-3168,-695,5
40,2020-9-6-0-53-14-9052,3,-6376,-9956,9820,-3968,-208,-169
41,2020-9-6-0-53-14-9310,4,15876,1576,4984,-3728,-401,-264
42,2020-9-6-0-53-15-9430,2,-7560,-8796,-9996,-3280,-342,-200
43,2020-9-6-0-53-15-9472,1,15420,2652,-8836,-3184,-854,-132
44,2020-9-6-0-53-15-9557,3,-6416,-9896,9924,-3968,-220,-5
45,2020-9-6-0-53-15-9814,4,12988,3364,4012,-3728,386,-3447
46,2020-9-6-0-53-15-9924,2,-7536,-8392,-10316,-3296,-271,-568
47,2020-9-6-0-53-15-9972,1,15248,2392,-9800,-3152,-1775,2652
48,2020-9-6-0-53-15-10057,3,-6556,-9968,9688,-3968,-239,-238
49,2020-9-6-0-53-15-10316,4,14692,780,8176,-3680,-1738,-3221
50,2020-9-6-0-53-16-10425,2,-7616,-8908,-9988,-3328,-184,-156
51,2020-9-6-0-53-16-10474,1,16120,2452,-6736,-3152,-1394,1213
52,2020-9-6-0-53-16-10558,3,-6352,-9884,9768,-3984,-329,-160
53,2020-9-6-0-53-16-10817,4,16692,-2988,6220,-3696,-691,-1792
54,2020-9-6-0-53-16-10927,2,-7516,-9000,-9924,-3296,-226,63
55,2020-9-6-0-53-16-10977,1,16144,1648,-6344,-3168,-963,-2043
56,2020-9-6-0-53-16-11084,3,-6288,-9708,9800,-3984,-168,-221
57,2020-9-6-0-53-16-11320,4,18236,-1224,3932,-3680,-1395,-9495
58,2020-9-6-0-53-17-11431,2,-7544,-10276,-10088,-3344,-221,-563
59,2020-9-6-0-53-17-11480,1,16064,856,-8024,-3168,-2914,-1085
60,2020-9-6-0-53-17-11560,3,-6544,-9908,9748,-3984,-314,124
61,2020-9-6-0-53-17-11839,4,16784,92,2252,-3712,-1896,-1825
62,2020-9-6-0-53-17-11932,2,-7384,-11300,-10008,-3296,-598,-13
63,2020-9-6-0-53-17-11981,1,16428,604,-6416,-3200,-976,-391
64,2020-9-6-0-53-17-12064,3,-6508,-10000,9820,-3968,50,71
65,2020-9-6-0-53-17-12323,4,18520,-1456,6572,-3696,2536,-5090
66,2020-9-6-0-53-18-12434,2,-7840,-12096,-9688,-3296,-746,867
67,2020-9-6-0-53-18-12482,1,15500,1740,-9436,-3168,-489,168
68,2020-9-6-0-53-18-12567,3,-6504,-9980,9964,-3952,-279,-202
69,2020-9-6-0-53-18-12824,4,15584,780,6216,-3696,-74,-880
70,2020-9-6-0-53-18-12935,2,-7532,-11080,-9848,-3296,-385,385
71,2020-9-6-0-53-18-12984,1,15368,1776,-9472,-3152,-1087,-1162
72,2020-9-6-0-53-18-13070,3,-6460,-9892,9816,-3936,-263,-49
73,2020-9-6-0-53-18-13326,4,15420,1056,6856,-3728,-310,-775
74,2020-9-6-0-53-19-13438,2,-7800,-10756,-9592,-3344,-490,277
75,2020-9-6-0-53-19-13487,1,15492,1864,-9216,-3168,-665,-116
76,2020-9-6-0-53-19-13569,3,-6560,-9968,9604,-3968,-290,-145
77,2020-9-6-0-53-19-13831,4,15964,896,5196,-3728,-673,-372
78,2020-9-6-0-53-19-13941,2,-7844,-10016,-9616,-3312,-578,275
79,2020-9-6-0-53-19-13987,1,15484,2100,-8952,-3136,-585,72
80,2020-9-6-0-53-19-14071,3,-6456,-9908,9884,-4000,-332,-103
81,2020-9-6-0-53-19-14331,4,15536,1312,5744,-3696,511,-487
82,2020-9-6-0-53-20-14443,2,-7884,-9240,-10024,-3328,-501,549
83,2020-9-6-0-53-20-14493,1,15472,2268,-9080,-3152,-985,-233
84,2020-9-6-0-53-20-14573,3,-6496,-10072,9820,-3984,-255,-106
85,2020-9-6-0-53-20-14832,4,15816,1688,5440,-3712,-85,60
