id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-7-0-4-5-3652,2,-2288,-16332,896,-1200,-390,135
1,2020-9-7-0-4-5-3693,3,-5796,-14748,2472,-2096,-283,-91
2,2020-9-7-0-4-5-3934,1,14360,4520,-9644,-1392,-704,-107
3,2020-9-7-0-4-5-4139,2,-2384,-16352,912,-1200,-401,122
4,2020-9-7-0-4-5-4198,3,-5796,-14716,2568,-2064,-197,-40
5,2020-9-7-0-4-6-4438,1,14364,4248,-9768,-1392,-353,416
6,2020-9-7-0-4-6-4629,2,-2244,-16592,660,-1200,-380,103
7,2020-9-7-0-4-6-4695,3,-5656,-14952,2592,-2064,-454,21
8,2020-9-7-0-4-6-4940,1,5036,3488,-13508,-1424,-13651,-23428
9,2020-9-7-0-4-6-5129,2,-1944,-16116,1020,-1200,353,82
10,2020-9-7-0-4-6-5200,3,-3560,-16420,-1220,-2080,-8407,4547
11,2020-9-7-0-4-7-5439,1,12104,-3344,-11376,-1424,22065,-32768
12,2020-9-7-0-4-7-5632,2,-2416,-16416,1224,-1168,-317,-9
13,2020-9-7-0-4-7-5701,3,-568,-15860,-5344,-2064,-687,1035
14,2020-9-7-0-4-7-5942,1,3656,-1120,-4436,-1440,-23348,25209
15,2020-9-7-0-4-7-6141,2,-2344,-16392,980,-1216,-248,140
16,2020-9-7-0-4-7-6202,3,-496,-16304,-4392,-2064,-11,758
17,2020-9-7-0-4-8-6443,1,-1552,-6848,-32768,-1392,4526,-32768
18,2020-9-7-0-4-8-6638,2,-2424,-16288,1356,-1184,-295,149
19,2020-9-7-0-4-8-6706,3,-232,-16096,-4500,-2048,-239,-270
20,2020-9-7-0-4-8-6944,1,5680,-404,576,-1408,18137,-32768
21,2020-9-7-0-4-8-7141,2,-2348,-16260,1308,-1168,-280,199
22,2020-9-7-0-4-8-7209,3,-644,-16008,-4496,-2064,-266,-498
23,2020-9-7-0-4-9-7450,1,1820,5700,14136,-1408,4302,29720
24,2020-9-7-0-4-9-7641,2,-2268,-16256,1480,-1200,-247,112
25,2020-9-7-0-4-9-7708,3,-656,-16176,-4748,-2064,-393,-149
26,2020-9-7-0-4-9-7947,1,4348,588,-32768,-1408,-13015,25985
27,2020-9-7-0-4-9-8144,2,-2460,-16356,1452,-1232,-568,138
28,2020-9-7-0-4-9-8209,3,-644,-16084,-4692,-2080,-164,23
29,2020-9-7-0-4-10-8452,1,6816,-3084,-5080,-1424,24180,-32768
30,2020-9-7-0-4-10-8645,2,-2316,-16272,1288,-1184,-367,177
31,2020-9-7-0-4-10-8713,3,-628,-16028,-4640,-2048,-284,-173
32,2020-9-7-0-4-10-8954,1,3916,1716,19744,-1392,6444,25129
33,2020-9-7-0-4-10-9148,2,-2440,-16356,1276,-1200,-383,109
34,2020-9-7-0-4-10-9215,3,-568,-16112,-4584,-2048,-438,-238
35,2020-9-7-0-4-11-9454,1,4812,-1600,-11212,-1392,-27114,28578
36,2020-9-7-0-4-11-9651,2,-2488,-16272,1096,-1216,-356,166
37,2020-9-7-0-4-11-9715,3,-472,-16208,-4700,-2064,-280,-182
38,2020-9-7-0-4-11-9959,1,-288,10548,-32768,-1376,1098,-18185
39,2020-9-7-0-4-11-10151,2,-2644,-16512,1824,-1200,233,-281
40,2020-9-7-0-4-11-10216,3,-200,-17144,-3732,-2048,679,-49
41,2020-9-7-0-4-12-10459,1,12852,2112,-14264,-1408,20843,7050
42,2020-9-7-0-4-12-10653,2,-1428,-14856,-1096,-1184,-10015,1188
43,2020-9-7-0-4-12-10719,3,2128,-17052,-3700,-2080,5255,-2508
44,2020-9-7-0-4-12-10960,1,13632,-16876,-10156,-1408,-152,-932
45,2020-9-7-0-4-12-11153,2,-2012,-23248,2568,-1200,2558,1231
46,2020-9-7-0-4-12-11222,3,-2972,-17040,-64,-2080,864,2854
47,2020-9-7-0-4-13-11462,1,5964,-5480,-12152,-1408,-32768,-14980
48,2020-9-7-0-4-13-11658,2,-4356,-16848,-872,-1200,1592,2472
