id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-1-14-52-4625,1,5004,-14660,-7640,-3376,-527,248
1,2020-9-6-1-14-52-4630,2,596,-16744,-116,-3520,-291,-19
2,2020-9-6-1-14-52-4711,4,14456,-11336,3500,-3696,-952,2012
3,2020-9-6-1-14-52-4796,3,-1224,-16064,-3940,-4128,-356,-139
4,2020-9-6-1-14-52-5101,1,4920,-14732,-7836,-3360,-991,-405
5,2020-9-6-1-14-52-5120,2,472,-16624,108,-3536,-341,50
6,2020-9-6-1-14-52-5205,4,13228,-10464,5232,-3696,-610,-4459
7,2020-9-6-1-14-53-5306,3,-1328,-15988,-3792,-4144,-627,-1182
8,2020-9-6-1-14-53-5606,1,2756,-12372,-10068,-3360,-3474,812
9,2020-9-6-1-14-53-5620,2,-11124,-11900,-3868,-3536,-2361,-11385
10,2020-9-6-1-14-53-5714,4,9596,-13084,3844,-3728,4422,2250
11,2020-9-6-1-14-53-5810,3,1424,-15980,-4628,-4128,-494,-1199
12,2020-9-6-1-14-53-6106,1,6880,-13388,-9568,-3360,1042,-542
13,2020-9-6-1-14-53-6129,2,-1704,-16572,1412,-3552,863,83
14,2020-9-6-1-14-53-6209,4,3340,-17604,19264,-3680,3262,-813
15,2020-9-6-1-14-54-6309,3,2076,-16384,-604,-4112,5762,-3104
16,2020-9-6-1-14-54-6624,1,5300,-14508,-7396,-3360,591,-5624
17,2020-9-6-1-14-54-6635,2,-928,-16532,556,-3504,-2561,-1158
18,2020-9-6-1-14-54-6742,4,6104,-11324,10940,-3712,627,-6093
19,2020-9-6-1-14-54-6808,3,-488,-15308,-2780,-4128,-950,4236
20,2020-9-6-1-14-54-7110,1,8188,-12236,-12088,-3360,-192,-5004
21,2020-9-6-1-14-54-7128,2,-2672,-14508,-2704,-3552,-1906,-19393
22,2020-9-6-1-14-54-7216,4,5112,-12292,5388,-3712,-456,-4686
23,2020-9-6-1-14-55-7305,3,-2308,-16180,-1904,-4144,1950,-3562
24,2020-9-6-1-14-55-7613,1,8200,-13696,-10488,-3360,3394,-2073
25,2020-9-6-1-14-55-7633,2,-4936,-17828,-12836,-3520,-12423,-7140
26,2020-9-6-1-14-55-7714,4,4108,-13076,6652,-3728,1736,509
27,2020-9-6-1-14-55-7809,3,-4332,-13264,-2752,-4128,6949,-16451
28,2020-9-6-1-14-55-8117,1,6640,-13460,-5920,-3392,-4612,7427
29,2020-9-6-1-14-55-8139,2,-3004,-16628,-492,-3552,-797,3448
30,2020-9-6-1-14-55-8217,4,2032,-13520,10224,-3728,-4334,8803
31,2020-9-6-1-14-56-8310,3,-10548,-12348,5520,-4112,-1613,8256
32,2020-9-6-1-14-56-8619,1,7292,-11716,-10496,-3360,-5277,4488
