id,TimeStamp,LandmarkID,AcX,AcY,AcZ,GyX,GyY,GyZ
0,2020-9-6-1-8-19-4128,1,10796,-15864,-4892,-3360,-540,-3534
1,2020-9-6-1-8-19-4132,2,-2156,-16556,920,-3440,-430,-13
2,2020-9-6-1-8-19-4166,4,10376,-12804,4732,-3648,-1200,-2376
3,2020-9-6-1-8-19-4263,3,3820,-15960,1640,-4128,-869,3717
4,2020-9-6-1-8-20-4567,1,8364,-12872,-7820,-3344,-6723,-9488
5,2020-9-6-1-8-20-4590,2,-2312,-16236,932,-3408,-762,-112
6,2020-9-6-1-8-20-4677,4,9360,-12516,8980,-3632,2771,-4501
7,2020-9-6-1-8-20-4766,3,5868,-16336,-7244,-4128,-1347,1061
8,2020-9-6-1-8-20-5069,1,7932,-9228,-8992,-3328,-450,-4805
9,2020-9-6-1-8-20-5092,2,-1128,-16780,384,-3408,-3430,44
10,2020-9-6-1-8-20-5174,4,8364,-11304,7120,-3680,-4377,-965
11,2020-9-6-1-8-20-5267,3,-1300,-16712,-1588,-4128,-3125,972
12,2020-9-6-1-8-21-5572,1,-6036,-12576,-9704,-3328,3738,-14417
13,2020-9-6-1-8-21-5597,2,1192,-15272,-5796,-3424,1110,-5588
14,2020-9-6-1-8-21-5673,4,6764,-12564,4484,-3680,115,2176
15,2020-9-6-1-8-21-5767,3,-280,-16644,-2508,-4128,2916,88
16,2020-9-6-1-8-21-6082,1,-6764,-16920,-9716,-3344,1222,-6997
17,2020-9-6-1-8-21-6098,2,-940,-17964,-7184,-3424,5436,1588
18,2020-9-6-1-8-21-6175,4,1804,-16760,8404,-3680,-14841,2457
19,2020-9-6-1-8-21-6269,3,4092,-12928,-32768,-4112,-379,-8618
20,2020-9-6-1-8-22-6578,1,-64,-11236,-8320,-3344,-8067,-9322
21,2020-9-6-1-8-22-6600,2,2368,-16948,-648,-3440,3040,-697
22,2020-9-6-1-8-22-6682,4,360,-31148,15756,-3680,14166,-25337
23,2020-9-6-1-8-22-6772,3,-1208,-16328,464,-4128,2983,1327
24,2020-9-6-1-8-22-7077,1,-5968,-18292,-6248,-3360,-5520,2358
25,2020-9-6-1-8-22-7099,2,4352,-16344,-2508,-3392,-2610,1688
26,2020-9-6-1-8-22-7179,4,1320,-16020,10980,-3680,3710,2179
27,2020-9-6-1-8-22-7274,3,-992,-16476,180,-4112,-3137,-1552
28,2020-9-6-1-8-23-7579,1,-3348,-6980,-13284,-3344,2314,-58
29,2020-9-6-1-8-23-7601,2,1348,-17908,-3204,-3440,-3194,482
30,2020-9-6-1-8-23-7680,4,1944,-9352,13748,-3680,-7515,8134
31,2020-9-6-1-8-23-7777,3,1160,-16880,-2576,-4096,-3437,-5517
32,2020-9-6-1-8-23-8081,1,-3956,-13348,-11588,-3360,-4034,-3293
33,2020-9-6-1-8-23-8103,2,-2216,-17696,-3236,-3440,4604,4037
34,2020-9-6-1-8-23-8183,4,5152,-16396,11304,-3696,-3955,-6345
35,2020-9-6-1-8-23-8277,3,-3936,-12324,-5348,-4128,2925,-4355
36,2020-9-6-1-8-24-8583,1,-22300,-4580,11904,-3392,-32768,19355
37,2020-9-6-1-8-24-8605,2,2444,-15876,-288,-3440,64,-1270
38,2020-9-6-1-8-24-8684,4,1656,-12060,-6876,-3728,9205,3730
39,2020-9-6-1-8-24-8785,3,-216,-16600,-2900,-4128,-1048,-1474
40,2020-9-6-1-8-24-9084,1,-12476,-9164,-9292,-3360,19610,-6465
41,2020-9-6-1-8-24-9108,2,5140,-16480,-13480,-3424,-5896,-358
42,2020-9-6-1-8-24-9186,4,2000,-15356,12056,-3712,-15824,11833
43,2020-9-6-1-8-24-9282,3,-6296,-14500,104,-4112,-3045,-12846
44,2020-9-6-1-8-25-9587,1,-9336,-6812,-3776,-3328,5600,-2046
45,2020-9-6-1-8-25-9610,2,1872,-16264,304,-3408,1650,1611
46,2020-9-6-1-8-25-9690,4,3648,168,6752,-3712,-8935,2824
47,2020-9-6-1-8-25-9783,3,-2508,-16756,252,-4112,8919,4154
48,2020-9-6-1-8-25-10090,1,-15072,-12948,468,-3360,-5688,-3259
49,2020-9-6-1-8-25-10111,2,4756,-16272,-1284,-3456,-1893,2482
50,2020-9-6-1-8-25-10190,4,1636,-14764,8124,-3728,-4724,1908
51,2020-9-6-1-8-25-10287,3,-4288,-15264,1732,-4096,-582,-113
52,2020-9-6-1-8-26-10592,1,-6316,-8236,-4660,-3344,749,-690
53,2020-9-6-1-8-26-10613,2,4412,-17020,-2864,-3440,-1462,-564
54,2020-9-6-1-8-26-10694,4,-800,-12972,3504,-3696,-3701,4862
55,2020-9-6-1-8-26-10787,3,-4172,-16244,2500,-4128,-2554,-542
56,2020-9-6-1-8-26-11093,1,-5436,-10828,-4572,-3376,-5049,-458
57,2020-9-6-1-8-26-11116,2,7340,-17168,-21712,-3440,-3996,4681
58,2020-9-6-1-8-26-11194,4,1592,-14916,9044,-3744,4120,1634
59,2020-9-6-1-8-26-11291,3,-212,-16180,-1836,-4096,-2183,-421
60,2020-9-6-1-8-27-11603,1,-2200,-10332,-13328,-3376,2770,658
61,2020-9-6-1-8-27-11619,2,-1156,-16564,-188,-3456,308,45
62,2020-9-6-1-8-27-11695,4,3888,-12800,11692,-3728,-7963,5546
63,2020-9-6-1-8-27-11791,3,2956,-14032,-3024,-4096,-1756,-804
64,2020-9-6-1-8-27-12104,1,988,-32768,-29924,-3376,-32768,-29671
65,2020-9-6-1-8-27-12119,2,3036,-17184,-7244,-3456,-387,4030
66,2020-9-6-1-8-27-12202,4,-7908,-32768,-1752,-3728,32767,-20191
67,2020-9-6-1-8-27-12292,3,412,-16384,-900,-4112,-1312,1019
68,2020-9-6-1-8-28-12602,1,-8744,-9348,-14968,-3360,24332,691
69,2020-9-6-1-8-28-12621,2,-408,-16820,-568,-3408,3155,2561
70,2020-9-6-1-8-28-12700,4,4356,-9528,16028,-3728,-12981,7166
71,2020-9-6-1-8-28-12796,3,-3836,-14800,6176,-4128,9385,10953
72,2020-9-6-1-8-28-13101,1,-11944,-3252,-6832,-3344,7367,4787
73,2020-9-6-1-8-28-13125,2,8132,-15164,-12272,-3456,-2367,16968
74,2020-9-6-1-8-28-13201,4,8640,-12180,3504,-3744,-2972,-5008
75,2020-9-6-1-8-28-13296,3,2276,-17080,-5144,-4096,4854,-6805
76,2020-9-6-1-8-29-13604,1,-12064,-7576,-4796,-3360,5826,8937
77,2020-9-6-1-8-29-13625,2,208,-16788,2340,-3440,-640,-1771
78,2020-9-6-1-8-29-13703,4,2492,-15684,2976,-3728,-22640,-1843
79,2020-9-6-1-8-29-13800,3,-1080,-17308,-348,-4096,8267,-276
80,2020-9-6-1-8-29-14104,1,-12876,-13748,7632,-3392,-2234,6435
81,2020-9-6-1-8-29-14126,2,4752,-20972,-1140,-3440,-4173,-785
82,2020-9-6-1-8-29-14206,4,3820,-19736,5312,-3744,-2925,2120
83,2020-9-6-1-8-29-14300,3,-4556,-14780,1680,-4128,132,-1642
84,2020-9-6-1-8-30-14608,1,-7860,-17500,-6240,-3392,-638,16220
85,2020-9-6-1-8-30-14629,2,-2032,-14892,-2288,-3456,999,3380
86,2020-9-6-1-8-30-14708,4,216,-17544,2736,-3776,4554,1206
87,2020-9-6-1-8-30-14803,3,-2700,-16052,-988,-4128,-6778,198
88,2020-9-6-1-8-30-15109,1,-3876,-10320,-9396,-3392,-2716,-2387
89,2020-9-6-1-8-30-15130,2,-3856,-17524,-3504,-3424,-1997,-1929
90,2020-9-6-1-8-30-15210,4,1784,-13836,6704,-3760,2425,3227
91,2020-9-6-1-8-30-15305,3,448,-18836,-516,-4128,2954,2351
92,2020-9-6-1-8-31-15612,1,-3940,-11672,-12392,-3360,544,-1584
93,2020-9-6-1-8-31-15632,2,-1120,-16696,-548,-3440,-8,-536
94,2020-9-6-1-8-31-15712,4,4068,-8512,14720,-3744,-2432,6230
95,2020-9-6-1-8-31-15807,3,-1500,-16464,-3032,-4096,2725,24
96,2020-9-6-1-8-31-16112,1,-13360,3644,-1664,-3376,18921,8247
97,2020-9-6-1-8-31-16138,2,-1164,-15772,-1916,-3424,-2941,-1247
98,2020-9-6-1-8-31-16213,4,9412,-12772,16220,-3776,-8177,8707
99,2020-9-6-1-8-31-16310,3,412,-16832,-4392,-4128,-2193,-2876
100,2020-9-6-1-8-32-16616,1,3572,-9396,-15676,-3408,3017,-2005
101,2020-9-6-1-8-32-16637,2,-1272,-16480,-40,-3408,-1259,970
102,2020-9-6-1-8-32-16715,4,3332,-11300,13996,-3776,-7066,9768
103,2020-9-6-1-8-32-16812,3,1816,-16424,-3296,-4112,-2069,-1753
104,2020-9-6-1-8-32-17115,1,-8612,-9640,-9088,-3424,1683,-3444
105,2020-9-6-1-8-32-17141,2,-5436,-13776,268,-3440,208,-2673
106,2020-9-6-1-8-32-17219,4,1840,-18240,3168,-3760,-4517,2795
107,2020-9-6-1-8-33-17314,3,2236,-20340,-5580,-4112,5159,-2228
108,2020-9-6-1-8-33-17621,1,-10924,-10788,-5492,-3408,12390,1994
109,2020-9-6-1-8-33-17640,2,1472,-17264,576,-3424,531,-278
110,2020-9-6-1-8-33-17719,4,700,-5204,2564,-3744,-9467,4948
111,2020-9-6-1-8-33-17814,3,-1624,-16368,2592,-4128,5187,2878
112,2020-9-6-1-8-33-18121,1,-6576,-19424,276,-3376,-4024,1903
113,2020-9-6-1-8-33-18141,2,12060,-18964,1796,-3440,-1910,-6534
114,2020-9-6-1-8-33-18221,4,1572,-19960,5112,-3776,-4690,3725
115,2020-9-6-1-8-34-18316,3,-3184,-15928,1964,-4096,-1777,-681
116,2020-9-6-1-8-34-18624,1,-4368,-16720,-11576,-3408,-4414,1635
117,2020-9-6-1-8-34-18647,2,1244,-16836,52,-3424,-1442,6455
118,2020-9-6-1-8-34-18724,4,-860,-17528,4384,-3760,5201,-5010
119,2020-9-6-1-8-34-18819,3,-3028,-16272,-52,-4048,-5526,1215
120,2020-9-6-1-8-34-19123,1,-5080,-8656,-8856,-3392,-826,3652
121,2020-9-6-1-8-34-19147,2,-968,-21188,7460,-3424,1035,3251
122,2020-9-6-1-8-34-19226,4,1740,-15184,6144,-3792,-1586,-50
123,2020-9-6-1-8-35-19320,3,792,-12624,128,-4112,2566,-363
124,2020-9-6-1-8-35-19628,1,-4568,-15516,-15040,-3392,-4874,-62
125,2020-9-6-1-8-35-19649,2,-872,-16832,-216,-3456,-3044,-2059
126,2020-9-6-1-8-35-19728,4,-5984,-1888,32592,-3776,10412,-22429
127,2020-9-6-1-8-35-19821,3,-168,-16436,-696,-4112,1510,-2484
128,2020-9-6-1-8-35-20129,1,-10804,-4368,-15744,-3408,9698,-11496
129,2020-9-6-1-8-35-20151,2,-40,-16228,-2620,-3424,637,432
130,2020-9-6-1-8-35-20229,4,9884,-5500,14268,-3776,-11731,1591
131,2020-9-6-1-8-36-20324,3,948,-16300,-3504,-4080,-1347,1710
132,2020-9-6-1-8-36-20629,1,-7532,-8564,-10764,-3440,12775,-4321
133,2020-9-6-1-8-36-20652,2,-1564,-16456,312,-3440,616,1057
134,2020-9-6-1-8-36-20731,4,3572,-13108,14220,-3776,-15962,7469
135,2020-9-6-1-8-36-20827,3,-3648,-8160,-4488,-4064,-2345,6521
136,2020-9-6-1-8-36-21138,1,-13576,-4224,-3640,-3424,3823,-3167
137,2020-9-6-1-8-36-21171,2,-15400,-10480,8568,-3424,-3719,-20727
138,2020-9-6-1-8-36-21233,4,-188,-18112,508,-3792,-1393,-900
139,2020-9-6-1-8-37-21329,3,720,-15936,-1452,-4080,-2037,-1157
140,2020-9-6-1-8-37-21633,1,688,-13944,-13344,-3376,2479,11544
141,2020-9-6-1-8-37-21657,2,2556,-17116,896,-3456,289,-4106
142,2020-9-6-1-8-37-21735,4,-4684,-14280,32767,-3808,29970,-32768
143,2020-9-6-1-8-37-21831,3,-2892,-15728,624,-4096,1906,907
144,2020-9-6-1-8-37-22135,1,-7152,-14944,-7696,-3392,-1798,-75
145,2020-9-6-1-8-37-22158,2,2076,-16772,448,-3472,-2784,4657
146,2020-9-6-1-8-37-22238,4,-1124,-18284,4608,-3808,4935,-13
147,2020-9-6-1-8-38-22333,3,-3528,-15944,1036,-4064,-4513,-1114
148,2020-9-6-1-8-38-22639,1,-6352,-10400,-7176,-3424,-2824,1268
149,2020-9-6-1-8-38-22661,2,2920,-19496,-7652,-3456,7442,-29960
150,2020-9-6-1-8-38-22740,4,2040,-13380,9160,-3808,7176,-1798
151,2020-9-6-1-8-38-22834,3,-2856,-17496,-2604,-4096,13230,966
152,2020-9-6-1-8-38-23140,1,-5164,-8848,-10060,-3424,585,-428
